Gene	B cells	T cells CD4	T cells CD8	T cells follicular helper
ABI1	1067.086953	879.033375	688.5239762	820.4563036
ABI2	113.0263953	189.1777113	157.6937422	180.0318667
ABI3	118.5127083	181.9228067	399.7112788	111.6587439
ABI3BP	10.86240489	10.54643725	12.36145751	11.10758084
ABL1	180.9824931	163.8150788	205.1195729	228.4296544
ABL2	118.511222	93.62928657	87.28251886	103.4773122
ABLIM1	655.4621074	606.5639884	803.0266828	646.1858556
ABLIM2	46.28167882	36.9714525	45.55330661	40.51952337
ABLIM3	23.21088754	20.07107601	24.03060106	18.30613878
ABO	22.05075296	26.63193622	23.82191741	23.8709978
ABR	108.2169368	140.2343695	123.0724768	131.5023722
ABRA	9.212311225	9.00577003	9.641917965	9.062859824
ABRACL	1011.622774	1166.96457	950.6685019	1299.389977
ABT1	331.3650962	291.8217528	294.2731634	323.9917872
ABTB1	60.53788263	147.2665908	108.5993808	115.5155787
ABTB2	51.6624242	43.30907956	50.04847096	41.30137016
AC000099.1	12.42638906	11.89833782	13.01578841	10.942556
AC002463.3	9.394136767	9.385696786	11.09035535	9.47209451
AC003102.3	11.8474589	14.92546834	15.09852985	19.25666874
AC003665.1	19.70138565	15.14320112	15.35352205	17.58232505
AC003958.2	8.947649122	8.455644377	9.148202825	8.067113219
AC004893.11	30.07764634	16.45439569	17.93511799	27.70549315
AC005022.1	10.24694084	12.34260031	10.76286015	10.02532425
AC005062.2	10.42041366	9.455264814	10.88626792	9.443674909
AC005358.3	11.23163394	12.18424569	13.7080854	11.11284809
AC006004.1	12.4651443	11.29656374	12.0055119	10.84674126
AC007038.7	10.92578983	9.617737349	9.795622987	9.391603978
AC007099.1	37.6039552	39.81048817	46.08905021	31.17052659
AC007163.3	12.18694529	12.5163839	13.36827393	10.26222187
AC007246.3	37.86010425	18.71538023	18.2483942	23.28622143
AC007249.3	19.70053596	21.74831221	22.90690167	16.38815634
AC007365.1	38.7780705	37.83662832	38.50425792	40.70290888
AC007386.2	38.74210964	14.85855455	15.8535922	15.27813025
